Time;temp.mean;dewpoint.mean
2017-08-04T14:33:40-04:00;null;null
2017-08-04T14:33:45-04:00;null;null
2017-08-04T14:33:50-04:00;null;null
2017-08-04T14:33:55-04:00;null;null
2017-08-04T14:34:00-04:00;null;null
2017-08-04T14:34:05-04:00;null;null
2017-08-04T14:34:10-04:00;null;null
2017-08-04T14:34:15-04:00;null;null
2017-08-04T14:34:20-04:00;null;null
2017-08-04T14:34:25-04:00;null;null
2017-08-04T14:34:30-04:00;null;null
2017-08-04T14:34:35-04:00;null;null
2017-08-04T14:34:40-04:00;null;null
2017-08-04T14:34:45-04:00;null;null
2017-08-04T14:34:50-04:00;null;null
2017-08-04T14:34:55-04:00;null;null
2017-08-04T14:35:00-04:00;null;null
2017-08-04T14:35:05-04:00;null;null
2017-08-04T14:35:10-04:00;null;null
2017-08-04T14:35:15-04:00;null;null
2017-08-04T14:35:20-04:00;null;null
2017-08-04T14:35:25-04:00;null;null
2017-08-04T14:35:30-04:00;null;null
2017-08-04T14:35:35-04:00;null;null
2017-08-04T14:35:40-04:00;null;null
2017-08-04T14:35:45-04:00;null;null
2017-08-04T14:35:50-04:00;null;null
2017-08-04T14:35:55-04:00;null;null
2017-08-04T14:36:00-04:00;null;null
2017-08-04T14:36:05-04:00;null;null
2017-08-04T14:36:10-04:00;null;null
2017-08-04T14:36:15-04:00;null;null
2017-08-04T14:36:20-04:00;null;null
2017-08-04T14:36:25-04:00;null;null
2017-08-04T14:36:30-04:00;null;null
2017-08-04T14:36:35-04:00;null;null
2017-08-04T14:36:40-04:00;null;null
2017-08-04T14:36:45-04:00;null;null
2017-08-04T14:36:50-04:00;null;null
2017-08-04T14:36:55-04:00;null;null
2017-08-04T14:37:00-04:00;null;null
2017-08-04T14:37:05-04:00;null;null
2017-08-04T14:37:10-04:00;null;null
2017-08-04T14:37:15-04:00;null;null
2017-08-04T14:37:20-04:00;null;null
2017-08-04T14:37:25-04:00;null;null
2017-08-04T14:37:30-04:00;null;null
2017-08-04T14:37:35-04:00;null;null
2017-08-04T14:37:40-04:00;null;null
2017-08-04T14:37:45-04:00;null;null
2017-08-04T14:37:50-04:00;null;null
2017-08-04T14:37:55-04:00;null;null
2017-08-04T14:38:00-04:00;null;null
2017-08-04T14:38:05-04:00;null;null
2017-08-04T14:38:10-04:00;null;null
2017-08-04T14:38:15-04:00;null;null
2017-08-04T14:38:20-04:00;null;null
2017-08-04T14:38:25-04:00;null;null
2017-08-04T14:38:30-04:00;null;null
2017-08-04T14:38:35-04:00;null;null
2017-08-04T14:38:40-04:00;null;null
2017-08-04T14:38:45-04:00;null;null
2017-08-04T14:38:50-04:00;null;null
2017-08-04T14:38:55-04:00;null;null
2017-08-04T14:39:00-04:00;null;null
2017-08-04T14:39:05-04:00;null;null
2017-08-04T14:39:10-04:00;null;null
2017-08-04T14:39:15-04:00;null;null
2017-08-04T14:39:20-04:00;null;null
2017-08-04T14:39:25-04:00;null;null
2017-08-04T14:39:30-04:00;null;null
2017-08-04T14:39:35-04:00;null;null
2017-08-04T14:39:40-04:00;null;null
2017-08-04T14:39:45-04:00;null;null
2017-08-04T14:39:50-04:00;null;null
2017-08-04T14:39:55-04:00;null;null
2017-08-04T14:40:00-04:00;null;null
2017-08-04T14:40:05-04:00;null;null
2017-08-04T14:40:10-04:00;null;null
2017-08-04T14:40:15-04:00;null;null
2017-08-04T14:40:20-04:00;null;null
2017-08-04T14:40:25-04:00;null;null
2017-08-04T14:40:30-04:00;null;null
2017-08-04T14:40:35-04:00;null;null
2017-08-04T14:40:40-04:00;null;null
2017-08-04T14:40:45-04:00;null;null
2017-08-04T14:40:50-04:00;null;null
2017-08-04T14:40:55-04:00;null;null
2017-08-04T14:41:00-04:00;null;null
2017-08-04T14:41:05-04:00;null;null
2017-08-04T14:41:10-04:00;null;null
2017-08-04T14:41:15-04:00;null;null
2017-08-04T14:41:20-04:00;null;null
2017-08-04T14:41:25-04:00;null;null
2017-08-04T14:41:30-04:00;null;null
2017-08-04T14:41:35-04:00;null;null
2017-08-04T14:41:40-04:00;null;null
2017-08-04T14:41:45-04:00;null;null
2017-08-04T14:41:50-04:00;91.3;67
2017-08-04T14:41:55-04:00;null;null
2017-08-04T14:42:00-04:00;null;null
2017-08-04T14:42:05-04:00;null;null
2017-08-04T14:42:10-04:00;null;null
2017-08-04T14:42:15-04:00;null;null
2017-08-04T14:42:20-04:00;null;null
2017-08-04T14:42:25-04:00;null;null
2017-08-04T14:42:30-04:00;null;null
2017-08-04T14:42:35-04:00;null;null
2017-08-04T14:42:40-04:00;null;null
2017-08-04T14:42:45-04:00;null;null
2017-08-04T14:42:50-04:00;null;null
2017-08-04T14:42:55-04:00;null;null
2017-08-04T14:43:00-04:00;null;null
2017-08-04T14:43:05-04:00;null;null
2017-08-04T14:43:10-04:00;null;null
2017-08-04T14:43:15-04:00;null;null
2017-08-04T14:43:20-04:00;null;null
2017-08-04T14:43:25-04:00;null;null
2017-08-04T14:43:30-04:00;null;null
2017-08-04T14:43:35-04:00;null;null
